Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1.91171812405672,1.98858975994751,2.08520259842802,2.1924159043052,2.29834833522678,2.41645333148827,2.55011918848931,2.72481891485582,2.9549574198844,3.21120578805699,3.47920396639581,3.77466251298027,4.04463281723034,4.27120156502042,4.49503100314278,4.70859179316489,4.92703776672121,5.13827415221804,5.31272799628573,5.45163102753082,5.57687556616981,5.73255718619333,5.88235294117647,5.96473697782362,6.0006072518657,6.00562431483453,6.0054205696353,6.06881904490197,6.17718388891531,6.20278518144684,6.07170004498705,5.82256753094227,5.66114857960352,5.65539562217869,5.69286117964906,5.74808107058177,5.81204593391141,5.90936693487172,6.00486881255072,6.07415733024046,6.18222144399696,6.3786268313703,6.61896039772921,6.85699460825231,7.12230618527848,7.38867070491912,7.62760193897918,7.85906978255924,8.09434123790771,8.33958872971401,8.60262236848979,8.91372975210889,9.28298239842079,9.68074887076665,10.1095728893497,10.5887113089217,11.1188318227593,11.6866442650083,12.2986047255427,12.9432041204658,13.5488239628767,14.0378831637023,14.5117892093357,
Africa Eastern and Southern,AFE,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.68572981812201,2.66686235977537,2.64805888457639,2.6316079472736,2.61991405051008,2.61355373581022,2.61133516060597,2.61353006712386,2.61919109076164,2.62592376230462,2.63263584790394,2.63977434846568,2.64623945701713,2.65279896437488,2.65865168938898,2.66297545259623,2.66875721381766,2.6747965003452,2.68277735531844,2.69275527908452,2.69393172232474,2.69224771271707,2.69454974678403,2.69261757504807,2.68872285517308,2.68631086587113,2.68059563574299,2.67713052380881,2.66894094898564,2.6529268304226,2.63909911889699,2.63057576076694,2.62197292875424,2.60616117210264,2.58565505860084,2.56324779346409,2.5450966062475,2.53010724232327,2.51500872694283,2.50202398848551,2.49458976250177,2.49119192815113,2.488242620347,2.48485103781785,2.48252585662822,2.48263179674137,2.48368412476035,2.48478665199317,2.48602168045082,2.49091435867815,2.50248361798243,2.51993172528345,2.54078170971409,2.56206703965743,2.58419372905742,2.60526089206504,2.62713214435132,2.65140289776507,2.67617684522855,2.70014788441305,2.70980283123563,2.69695936088787,2.6762884649927,
Afghanistan,AFG,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.94910936416918,2.92174536346815,2.8894812130244,2.85517247790703,2.8218680641088,2.79019292180629,2.76164216148525,2.73678998599778,2.71338682869193,2.68909154457891,2.66274724859155,2.63687044909633,2.61064988809448,2.58339505207812,2.55896719494524,2.53866974343216,2.52305938945794,2.50823390612613,2.4891813613777,2.46395581674176,2.43394431818889,2.40321551411421,2.36620899748158,2.32628044181067,2.27694992886557,2.21832133194806,2.1746104900081,2.14739227884601,2.12944183882701,2.1227732052788,2.11618942309149,2.11231817399703,2.116722508414,2.12435217624661,2.12885361244608,2.12928040224506,2.12805783520584,2.12392555385098,2.11650727434659,2.10931398486617,2.10265121543437,2.09613159723192,2.09328035953109,2.09224264690722,2.08970948539608,2.09039437114195,2.09109887155861,2.07899686875405,2.0767101357961,2.0880458508139,2.09401408403724,2.1050139638743,2.11347016227663,2.1090363496305,2.10364382884822,2.09266403363441,2.07711538833622,2.07009985830644,2.06957598742309,2.07320335567457,2.06719118469678,2.04747463678935,2.02927877582496,
Africa Western and Central,AFW,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.0508083546788,3.05630615563657,3.0700680663814,3.08181637507573,3.08908289400616,3.09157190144488,3.09052411058001,3.08464667381487,3.07685912887213,3.06998012467681,3.06129650591146,3.04893529615617,3.03686966795206,3.02865578292184,3.02386584872908,3.02143010236624,3.02125246432249,3.02263517424053,3.02412875194072,3.02467818332236,3.01533182365462,3.00071200103602,2.99366288211461,2.98998251373239,2.98736503989161,2.98677553576265,2.98596312693081,2.98428169599745,2.98106376635216,2.97725558687118,2.97297849168089,2.9664983467277,2.95704624468603,2.94582412312673,2.93217636312645,2.91673982025008,2.90151027863206,2.88653637874523,2.8718976977712,2.85702458571677,2.84224289843758,2.82834124224459,2.81608231123033,2.80512260122565,2.79382216557985,2.78272048511795,2.77326529954975,2.76529159694352,2.7597502894514,2.75682568928936,2.75431522901192,2.74992314768017,2.74267968854048,2.72755684374137,2.70313755233441,2.68553876340426,2.67910974698175,2.675884896168,2.67634679063336,2.68057936387109,2.67503821408354,2.65547413054483,2.64419716313456,
Angola,AGO,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.02512145201661,3.06453725576954,3.07729070732629,3.08860164362346,3.10017955969857,3.11396247121582,3.12938414260632,3.14376007111827,3.15329872210084,3.15091375011772,3.12156959880742,3.0739624659064,3.02324311506036,2.96619359762362,2.90344026276309,2.834293664351,2.75994686335894,2.6818881318704,2.60262959486698,2.5257448054306,2.45163021737312,2.38162657055866,2.31737752431685,2.25604394117727,2.19836073731278,2.14819243253307,2.1060561514827,2.0676678956788,2.03362753512364,2.00849487884231,1.99089291162499,1.98440833278189,1.98499293925721,1.98970560595165,2.00383606849002,2.02769708050129,2.05807050346063,2.09117065459305,2.12253783407042,2.15152179543397,2.17842253462724,2.20192144095094,2.221712766146,2.23833929581829,2.24944871102161,2.25300753273133,2.25087641519793,2.24407198418933,2.23530944803548,2.22641027552877,2.2176972363695,2.2098902683051,2.20333721225201,2.19500220430881,2.18390572684953,2.18052229919145,2.18675997665351,2.19844491154146,2.21644585198913,2.24002512664209,2.25855655546832,2.26473743557088,2.27160652720846,
Albania,ALB,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,4.42952483943037,4.35701770259117,4.30614096811485,4.26469624399359,4.22236342056994,4.16883634765742,4.09929762257819,4.02227088965658,3.94650534226589,3.87952266934756,3.82819841233164,3.79340566498098,3.77473801025528,3.77204046870027,3.78254975355047,3.80213181072921,3.82598415182869,3.85305524738678,3.88163679749912,3.91123399864788,3.94959151199895,3.99808587692537,4.05459008370551,4.12306823167472,4.20601917494485,4.30042928432424,4.40381745012665,4.5158882779749,4.63297740178954,4.75366367186393,4.8828718425788,5.02982387438155,5.20223878363413,5.40019013949675,5.62395606467504,5.87077528022946,6.13642950507709,6.41968910318702,6.71976995146636,7.03607472068925,7.37091953145031,7.72990673400092,8.11546404801606,8.52012881818052,8.93311943331614,9.34244746348348,9.73794625638942,10.130077971344,10.5131548788807,10.8762439011414,11.2266997098215,11.5782472524657,11.9416728346309,12.3185781185746,12.7291760772472,13.1695857328422,13.6065548805812,14.0340617160295,14.4793364459978,14.9666136205585,15.4093726525998,15.7796003380191,16.1049743143227,
Andorra,AND,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,5.13357778941854,4.90791630508148,4.6863863150392,4.5323206472385,4.39720666103906,4.3229315774406,4.30822418722159,4.30823759472012,4.38168879923797,4.49287337326999,4.62126642771804,4.7266110420735,4.83177647350583,4.95485065987497,5.09466685937274,5.2810209068694,5.48269464525622,5.68532526475038,5.91362317174794,6.17825145894408,6.47193134398866,6.77371304501502,7.01499406535378,7.20447062097111,7.41186433123858,7.66103007615851,7.90083602350799,8.13257785878437,8.41204979568564,8.72973812613074,9.0752188231979,9.30323679727428,9.44829864552362,9.6531838205847,9.89817333851535,10.1837175248706,10.5554483802514,11.0016977928693,11.4291591971082,11.8212686239499,12.2004929197474,12.2003954424546,11.8566863824869,11.5784954071144,11.3492340701562,11.1602965522205,11.0425781156614,10.9140249167386,10.6885421583762,10.379230952444,10.0254768298561,9.99789754012194,10.3539083182388,10.8273451155564,11.3158222332877,11.8062367879299,12.1805722398165,12.4438202247191,12.7826954900055,13.1148385103562,13.4353977609774,13.739918980191,14.154366694454,
Arab World,ARB,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.18570293535014,3.19513781956759,3.21427619746457,3.22983132374545,3.24202070169654,3.25162240922633,3.24793784544815,3.23076592375286,3.21122999180756,3.18968657001509,3.166471087995,3.14281163191736,3.11982290542007,3.09698576181856,3.0719988378576,3.05598275599558,3.05583854178128,3.04426772864998,3.01414135624416,2.98485023765126,2.95906491319985,2.93450907188935,2.91134025592845,2.89079795560678,2.8776404470347,2.87254308886518,2.87473742264457,2.88248705296161,2.89140515737604,2.90578533470532,2.9206691088584,2.94746018534161,2.97193538110829,2.99579264670456,3.01842875151653,3.04174948728232,3.08430239406729,3.1457070204,3.18738926446599,3.20762438606491,3.22208411275702,3.23141975834069,3.23772364475908,3.23845768545291,3.2353313128677,3.22505968570682,3.20380996604286,3.17804459236818,3.15651513875518,3.14720883646662,3.1569682211766,3.18730581229031,3.23085748008445,3.28108626586048,3.33597311979488,3.39362805856349,3.45346037242811,3.5264057330622,3.61396332497426,3.70984032368339,3.80774231682147,3.89922382810617,3.98913561981418,
United Arab Emirates,ARE,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1.84084265574701,1.74980261018996,1.67299880656499,1.60552000951726,1.54503116996322,1.49558060575659,1.44812432160538,1.39959099861007,1.31938377146902,1.24071717964682,1.20745365153132,1.20267477925858,1.21673451876566,1.25170196088614,1.31077520053282,1.40415204144212,1.39338264059242,1.2796560156814,1.16996159788591,1.05946434554933,0.957753301004581,0.918786199785714,0.928012059244021,0.93136281658192,0.927977752656465,0.920210950728373,0.898600328295227,0.869482210146743,0.847453850596431,0.831631755597867,0.821573904686101,0.817099667588999,0.817238765474328,0.819737102184193,0.820985188602164,0.816348783136853,0.799169073389799,0.777002591261103,0.760901920396675,0.7517355163722,0.748484696129202,0.74779556517654,0.744563695191477,0.734394592556971,0.713889882553953,0.663020028314119,0.529799779031311,0.345436403156308,0.194887008550329,0.114107240180873,0.110437407924967,0.150879129964969,0.201012895524941,0.262788317155842,0.338582173474971,0.430945894759481,0.543266356272136,0.680674313719494,0.850735183336603,1.06344644079522,1.2323159678094,1.3457847367882,1.4182136625989,
Argentina,ARG,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,4.76441502815783,4.87610486155759,4.98227767043582,5.08440119384866,5.18656490266363,5.29003141928785,5.40030350049755,5.51230386110131,5.61419704730131,5.70016164280464,5.784528868749,5.87041218639485,5.94912770659534,6.02195686662725,6.0876182630098,6.15238000664597,6.21648991085119,6.28017112763613,6.34694165858467,6.4101167200668,6.46581864275002,6.51323557117401,6.55096403579016,6.58488167378837,6.61875605407068,6.66323045442799,6.72719812686054,6.80576796779596,6.89812104718877,7.00001712258768,7.10761912608731,7.22187894915923,7.33590177654302,7.4399706762499,7.54605480957975,7.64817675566904,7.73498146766146,7.80389339713234,7.86033100741642,7.91574614994541,7.966510446743,8.01261395995829,8.05304104689006,8.08895204195893,8.13512302064669,8.1943491738262,8.26163492715998,8.32497730168392,8.39465584179221,8.48903078678898,8.58904597508347,8.69295319581769,8.80493432921958,8.9170537442639,9.02931737283853,9.13916554048427,9.23789579191702,9.34381678131142,9.4682002665125,9.60031137474795,9.70961947506709,9.78062415562367,9.85947699523719,
